Model,Accuracy,Precision,Recall,F1-Score,AUC
Random Forest,0.9981037367540435,0.9969711090400746,0.9990660751809479,0.9980174927113702,0.9998646586950604
XGBoost,0.9979921918572225,0.9974341031024027,0.9983656315666589,0.997899649941657,0.9999558170979452
Gradient Boosting,0.9974344673731177,0.9969668688754083,0.9976651879523698,0.9973159061734158,0.9997717299840233
Logistic Regression,0.9394311210262131,0.9207920792079208,0.9554050898902638,0.9377793056033001,0.9780558585580635
SVM,0.82643614054657,0.7643979057591623,0.9203829091758113,0.8351694915254237,0.8948021807802782
